pair,ordered_g1_spin,ordered_g2_spin,coupling_ratio_abs_gmin_over_gmax,excited_state_hyperfine_scale,final_qec_average_fidelity,final_best_single_average_fidelity,final_qec_minus_best_single,maximum_qec_minus_best_single,time_of_maximum_improvement_us,qec_beats_best_single_any_sample,qec_beats_best_single_at_final_time
S1-S2,S2,S1,0.025047164131176494,0.1,0.973958613719,0.998587233138,-0.0246286194184,-0.00072972535137,0.5,False,False
S1-S3,S3,S1,0.11268736079619557,0.1,0.988295886907,0.998587233138,-0.010291346231,-0.000108384090504,0.5,False,False
S1-S4,S4,S1,0.35693402821914316,0.1,0.99832946835,0.998697465084,-0.000367996734568,-1.10310860818e-05,0.5,False,False
S1-S5,S1,S5,0.6823361823361824,0.1,0.998507066557,0.999366288344,-0.000859221787683,-1.06438592544e-05,0.5,False,False
S1-S6,S6,S1,0.8005702066999287,0.1,0.997534373765,0.998587233138,-0.00105285937255,-1.57963026166e-05,0.5,False,False
S1-X2,X2,S1,0.16536128614333662,0.1,0.997992109527,0.998587233138,-0.000595123611201,-1.92677524236e-05,0.5,False,False
S2-S3,S2,S3,0.22227128183857606,0.1,0.956298258153,0.978903742989,-0.0226054848363,-0.000765332417105,0.5,False,False
S2-S4,S2,S4,0.07017309124642646,0.1,0.973970416281,0.998697465084,-0.0247270488033,-0.000737504541681,0.5,False,False
S2-S5,S2,S5,0.01709058635161473,0.1,0.974706066467,0.999366288344,-0.024660221877,-0.000726366222776,0.5,False,False
S2-S6,S2,S6,0.03128665533835525,0.1,0.973492933218,0.998113000169,-0.0246200669513,-0.00071461751331,0.5,False,False
S2-X2,S2,X2,0.15146933550979635,0.1,0.97056748786,0.995227839103,-0.0246603512427,-0.000746878986662,0.5,False,False
S3-S4,S3,S4,0.31570921203122176,0.1,0.989451050727,0.998697465084,-0.00924641435721,-0.00011022588217,0.5,False,False
S3-S5,S3,S5,0.07689066356321607,0.1,0.988976158061,0.999366288344,-0.0103901302836,-0.000105620396195,0.5,False,False
S3-S6,S3,S6,0.14075887392900854,0.1,0.987857205753,0.998113000169,-0.0102557944166,-0.000100299108274,0.5,False,False
S3-X2,S3,X2,0.681461564700925,0.1,0.990899419731,0.995227839103,-0.00432841937188,-0.000105969251201,0.5,False,False
S4-S5,S4,S5,0.24354900216092534,0.1,0.999056788299,0.999366288344,-0.000309500045601,-6.68880667831e-06,0.5,False,False
S4-S6,S4,S6,0.445849752129147,0.1,0.997840163123,0.998697465084,-0.000857301961498,-1.25542853809e-05,0.5,False,False
S4-X2,X2,S4,0.4632824921971615,0.1,0.9988770918567056,0.9986974650841963,0.00017962677250926706,0.00017962677250926706,20.0,True,True
S5-S6,S6,S5,0.5462580185317177,0.1,0.9979798138310795,0.9993662883442193,-0.0013864745131397793,-1.3977178128565804e-05,0.5,False,False
S5-X2,X2,S5,0.11283198869324537,0.1,0.9987299796462258,0.999366288344219,-0.0006363086979932486,-1.745143489151335e-05,0.5,False,False
S6-X2,X2,S6,0.20655438431187792,0.1,0.9974945185761029,0.9981130001694356,-0.0006184815933326648,-1.7838909507017497e-05,0.5,False,False
