t_us,qec_average_fidelity_phase_calibrated,S2_average_fidelity_phase_calibrated,X2_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,-3.33066907388e-16,0
0.5,0.99922738539,0.999497930615,0.999989053539,0.999989053539,-0.000761668148707,0
1,0.995733722965,0.996833914844,0.999925936279,0.999925936279,-0.00419221331422,0
1.5,0.990010930863,0.992859592392,0.999821741151,0.999821741151,-0.00981081028845,0
2,0.982519057733,0.988432142448,0.999696506398,0.999696506398,-0.0171774486649,0
2.5,0.975070567012,0.98387329551,0.999557611506,0.999557611506,-0.0244870444934,0
3,0.968624014215,0.979387843072,0.999423481485,0.999423481485,-0.0307994672694,0
3.5,0.961046206798,0.97492133822,0.999314852466,0.999314852466,-0.0382686456688,0
4,0.953088526824,0.970606550788,0.999201409875,0.999201409875,-0.0461128830509,0
4.5,0.945652325748,0.966246041286,0.999081851914,0.999081851914,-0.053429526166,0
5,0.938956261633,0.961992864121,0.998956833099,0.998956833099,-0.060000571466,0
5.5,0.930785919622,0.957788392402,0.998827864229,0.998827864229,-0.0680419446066,0
6,0.92271514428,0.953630724197,0.998694096682,0.998694096682,-0.075978952402,0
6.5,0.915489535288,0.949512793052,0.998554273362,0.998554273362,-0.0830647380736,0
7,0.908289416032,0.94542503365,0.998409553766,0.998409553766,-0.0901201377347,0
7.5,0.89981658619,0.941460530867,0.998275717843,0.998275717843,-0.0984591316533,0
8,0.891758918185,0.937458172689,0.998166828358,0.998166828358,-0.106407910173,0
8.5,0.884766217944,0.933562513859,0.998051965828,0.998051965828,-0.113285747884,0
9,0.876953528738,0.929684242826,0.997932680196,0.997932680196,-0.120979151457,0
9.5,0.868448455093,0.92589213496,0.997809301727,0.997809301727,-0.129360846634,0
10,0.985588034646,0.922106965827,0.997680218847,0.997680218847,-0.0120921842008,1
10.5,0.982033372573,0.9183584189,0.997545475982,0.997545475982,-0.0155121034089,1
11,0.974944739686,0.914704980128,0.997406684999,0.997406684999,-0.0224619453138,1
11.5,0.967226728901,0.911046281333,0.997263451239,0.997263451239,-0.0300367223382,1
12,0.960117907583,0.907468393355,0.997129712195,0.997129712195,-0.0370118046115,1
12.5,0.953764754493,0.903886107999,0.997020160167,0.997020160167,-0.0432554056733,1
13,0.945869504153,0.900419953477,0.996906726744,0.996906726744,-0.0510372225912,1
13.5,0.938140923074,0.896944165482,0.996788351206,0.996788351206,-0.0586474281319,1
14,0.931299378819,0.893509506822,0.996663945071,0.996663945071,-0.0653645662513,1
14.5,0.92432894609,0.890135227261,0.996534824342,0.996534824342,-0.0722058782516,1
15,0.916107572908,0.886794705046,0.996401792492,0.996401792492,-0.0802942195844,1
15.5,0.90833082559,0.883505237433,0.996263365584,0.996263365584,-0.0879325399945,1
16,0.901647485306,0.880198560336,0.996119086812,0.996119086812,-0.0944716015059,1
16.5,0.893957819147,0.877019493128,0.995986705449,0.995986705449,-0.102028886302,1
17,0.885656594162,0.873826893786,0.995878719142,0.995878719142,-0.110222124979,1
17.5,0.878026262378,0.870684774215,0.995764933935,0.995764933935,-0.117738671557,1
18,0.871298770557,0.867564862439,0.995645641474,0.995645641474,-0.124346870918,1
18.5,0.863059357904,0.864507205116,0.995522396596,0.995522396596,-0.132463038692,1
19,0.854824824661,0.861485115192,0.995394569852,0.995394569852,-0.140569745191,1
19.5,0.847521572169,0.8584543029,0.995260760874,0.995260760874,-0.147739188705,1
20,0.970049302691,0.855514232769,0.995121925309,0.995121925309,-0.0250726226177,2
