t_us,qec_average_fidelity_phase_calibrated,S3_average_fidelity_phase_calibrated,S5_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,-2.22044604925e-16,0
0.5,0.999889637361,0.999927003342,0.999997373796,0.999997373796,-0.000107736435497,0
1,0.999402274335,0.999551979614,0.999984490969,0.999984490969,-0.000582216634067,0
1.5,0.998732523781,0.999032823707,0.999968561652,0.999968561652,-0.00123603787034,0
2,0.997897850323,0.998482116918,0.999953741185,0.999953741185,-0.00205589086227,0
2.5,0.997012250087,0.997956332192,0.999938493789,0.999938493789,-0.0029262437025,0
3,0.996228265354,0.997400561409,0.999922411615,0.999922411615,-0.00369414626174,0
3.5,0.995311467023,0.996841793838,0.999906744097,0.999906744097,-0.00459527707413,0
4,0.994388724861,0.996278451132,0.999891493249,0.999891493249,-0.00550276838817,0
4.5,0.993384941305,0.995688967124,0.999875538733,0.999875538733,-0.00649059742771,0
5,0.99258352012,0.995100115615,0.99985916315,0.99985916315,-0.00727564302944,0
5.5,0.991529490549,0.994567763242,0.99984342073,0.99984342073,-0.00831393018149,0
6,0.990548881623,0.994024963896,0.999827796718,0.999827796718,-0.00927891509516,0
6.5,0.989512412014,0.993455035059,0.999811352974,0.999811352974,-0.0102989409606,0
7,0.988626136971,0.992875548457,0.999794812359,0.999794812359,-0.0111686753888,0
7.5,0.98749433557,0.99229929396,0.999778952882,0.999778952882,-0.0122846173121,0
8,0.986420050392,0.99174514086,0.99976287941,0.99976287941,-0.0133428290177,0
8.5,0.985404262932,0.991196543116,0.999746012375,0.999746012375,-0.0143417494433,0
9,0.984368315286,0.990645053632,0.999729375126,0.999729375126,-0.0153610598401,0
9.5,0.983203932395,0.990093385777,0.999713320654,0.999713320654,-0.0165093882586,0
10,0.994515150468,0.98951874301,0.999696747398,0.999696747398,-0.0051815969304,1
10.5,0.994049104117,0.988923748618,0.999679546508,0.999679546508,-0.00563044239095,1
11,0.99314690581,0.988391297345,0.999662843471,0.999662843471,-0.00651593766119,1
11.5,0.992356173132,0.987861785644,0.999646497963,0.999646497963,-0.00729032483128,1
12,0.991455648978,0.987305975491,0.999629415587,0.999629415587,-0.00817376660921,1
12.5,0.990710388749,0.986736436762,0.999611979132,0.999611979132,-0.00890159038317,1
13,0.98971163268,0.986170584514,0.999595198099,0.999595198099,-0.00988356541914,1
13.5,0.988825566138,0.985604667531,0.999578466167,0.999578466167,-0.0107529000292,1
14,0.987876596693,0.985068761582,0.999560908225,0.999560908225,-0.0116843115325,1
14.5,0.987028861455,0.984526188229,0.999543324354,0.999543324354,-0.0125144628995,1
15,0.985972467901,0.983985822302,0.999526412462,0.999526412462,-0.0135539445607,1
15.5,0.984986790993,0.983426043985,0.999509217884,0.999509217884,-0.0145224268907,1
16,0.984052784279,0.982843071739,0.999491254321,0.999491254321,-0.0154384700427,1
16.5,0.98304810304,0.982293337624,0.99947358398,0.99947358398,-0.0164254809392,1
17,0.981973491586,0.981776136814,0.999456457985,0.999456457985,-0.0174829663998,1
17.5,0.980885370051,0.981234617278,0.999438758486,0.999438758486,-0.018553388435,1
18,0.979959983494,0.980675469779,0.999420482095,0.999420482095,-0.0194604986004,1
18.5,0.978798204738,0.980119244329,0.999402747235,0.999402747235,-0.0206045424973,1
19,0.977699609367,0.979554721777,0.999385309683,0.999385309683,-0.0216857003153,1
19.5,0.976551476064,0.979018777629,0.999369032718,0.999369032718,-0.0228175566534,1
20,0.988770011018,0.978485279855,0.999355968805,0.999355968805,-0.0105859577871,2
