t_us,qec_average_fidelity_phase_calibrated,X2_average_fidelity_phase_calibrated,S6_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,1.11022302463e-16,0
0.5,0.999973201038,0.999989053539,0.999991398232,0.999991398232,-1.81971938841e-05,0
1,0.99981396621,0.999925936279,0.999949264355,0.999949264355,-0.000135298145281,0
1.5,0.99957927702,0.999821741151,0.999897467076,0.999897467076,-0.000318190056296,0
2,0.999356635956,0.999696506398,0.999849806152,0.999849806152,-0.000493170195705,0
2.5,0.99910665234,0.999557611506,0.99980108661,0.99980108661,-0.000694434269414,0
3,0.998800268095,0.999423481485,0.999749737567,0.999749737567,-0.00094946947243,0
3.5,0.99850386033,0.999314852466,0.99969982672,0.99969982672,-0.00119596638939,0
4,0.998249126671,0.999201409875,0.999651422462,0.999651422462,-0.00140229579029,0
4.5,0.997943791319,0.999081851914,0.999600805722,0.999600805722,-0.00165701440311,0
5,0.997603898815,0.998956833099,0.999548834443,0.999548834443,-0.00194493562766,0
5.5,0.997293504823,0.998827864229,0.999499018344,0.999499018344,-0.00220551352104,0
6,0.997012820481,0.998694096682,0.999449726909,0.999449726909,-0.00243690642794,0
6.5,0.99666061769,0.998554273362,0.999397815709,0.999397815709,-0.00273719801909,0
7,0.996295801873,0.998409553766,0.99934560858,0.99934560858,-0.00304980670716,0
7.5,0.995977121726,0.998275717843,0.999295737488,0.999295737488,-0.003318615762,0
8,0.995658037089,0.998166828358,0.999245298844,0.999245298844,-0.00358726175479,0
8.5,0.995264399856,0.998051965828,0.999192301988,0.999192301988,-0.0039279021319,0
9,0.994880793034,0.997932680196,0.999140087448,0.999140087448,-0.00425929441328,0
9.5,0.994552775774,0.997809301727,0.999089910734,0.999089910734,-0.00453713496027,0
10,0.998755249102,0.997680218847,0.999038154302,0.999038154302,-0.000282905200271,1
10.5,0.998575603863,0.997545475982,0.998984361326,0.998984361326,-0.00040875746315,1
11,0.998303216208,0.997406684999,0.998932247952,0.998932247952,-0.000629031744184,1
11.5,0.998082464113,0.997263451239,0.998881453456,0.998881453456,-0.000798989343328,1
12,0.99781139209,0.997129712195,0.998828341097,0.998828341097,-0.00101694900656,1
12.5,0.997500342904,0.997020160167,0.998774073643,0.998774073643,-0.00127373073907,1
13,0.997213595079,0.996906726744,0.998722030312,0.998722030312,-0.00150843523342,1
13.5,0.996958478589,0.996788351206,0.998677459499,0.998677459499,-0.00171898090983,1
14,0.996636414662,0.996663945071,0.998631222233,0.998631222233,-0.0019948075719,1
14.5,0.996297990652,0.996534824342,0.998584856923,0.998584856923,-0.0022868662711,1
15,0.996003364825,0.996401792492,0.998540808632,0.998540808632,-0.00253744380623,1
15.5,0.99571024202,0.996263365584,0.998496027589,0.998496027589,-0.00278578556893,1
16,0.995346878667,0.996119086812,0.99844874224,0.99844874224,-0.00310186357293,1
16.5,0.994988145433,0.995986705449,0.998402390904,0.998402390904,-0.00341424547037,1
17,0.994684469189,0.995878719142,0.998357988562,0.998357988562,-0.00367351937291,1
17.5,0.994343684222,0.995764933935,0.99831187283,0.99831187283,-0.00396818860772,1
18,0.993945552263,0.995645641474,0.998263837207,0.998263837207,-0.00431828494346,1
18.5,0.993574268142,0.995522396596,0.998217587599,0.998217587599,-0.00464331945648,1
19,0.993252898047,0.995394569852,0.998172515172,0.998172515172,-0.00491961712522,1
19.5,0.992860889773,0.995260760874,0.998125048169,0.998125048169,-0.00526415839613,1
20,0.99744466576,0.995121925309,0.99807658295,0.99807658295,-0.000631917190847,2
