t_us,qec_average_fidelity_phase_calibrated,E80p10_average_fidelity_phase_calibrated,E80p0_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,0,0
0.5,0.999999129445,0.999960026644,0.999960591722,0.999960591722,3.85377223657e-05,0
1,0.999994616507,0.999712045016,0.999715301867,0.999715301867,0.000279314640344,0
1.5,0.999988625697,0.99926368955,0.999269991612,0.999269991612,0.000718634085449,0
2,0.999983006238,0.99878651233,0.998795469648,0.998795469648,0.00118753659021,0
2.5,0.999977492043,0.998255452018,0.998266790206,0.998266790206,0.00171070183699,0
3,0.99997172575,0.997683920912,0.997697731881,0.997697731881,0.00227399386967,0
3.5,0.999966019966,0.997082199716,0.99709832773,0.99709832773,0.00286769223596,0
4,0.999960538127,0.996545311646,0.996564151188,0.996564151188,0.00339638693882,0
4.5,0.999954935297,0.995993161897,0.996014304829,0.996014304829,0.00394063046796,0
5,0.999949133702,0.995416205495,0.995439712438,0.995439712438,0.00450942126368,0
5.5,0.999943494436,0.994814979906,0.994840651284,0.994840651284,0.0051028431518,0
6,0.999938020375,0.994282986132,0.994311632592,0.994311632592,0.00562638778261,0
6.5,0.999932350891,0.993733519089,0.993764418344,0.993764418344,0.00616793254776,0
7,0.99992655654,0.993159691351,0.993192838967,0.993192838967,0.00673371757285,0
7.5,0.999920982403,0.992561851155,0.992597024715,0.992597024715,0.00732395768778,0
8,0.999915488042,0.992035623243,0.99207405148,0.99207405148,0.00784143656178,0
8.5,0.99990975809,0.991489131172,0.991529753414,0.991529753414,0.00838000467557,0
9,0.999903996586,0.99091852067,0.990961260817,0.990961260817,0.00894273576964,0
9.5,0.999898476357,0.990324060191,0.990368964833,0.990368964833,0.00952951152366,0
10,0.999963937615,0.989803536854,0.989851722877,0.989851722877,0.0101122147376,1
10.5,0.999958563634,0.989260021482,0.989310328399,0.989310328399,0.010648235235,1
11,0.999951229407,0.988692622044,0.988744907468,0.988744907468,0.0112063219391,1
11.5,0.999945667952,0.988103109491,0.988159065359,0.988159065359,0.0117866025932,1
12,0.999940407712,0.98758662632,0.987644545034,0.987644545034,0.0122958626776,1
12.5,0.999934541072,0.98704609116,0.987106039911,0.987106039911,0.0128285011612,1
13,0.999928700912,0.986481888824,0.986543675251,0.986543675251,0.0133850256612,1
13.5,0.999923347757,0.985898520327,0.985964226522,0.985964226522,0.0139591212348,1
14,0.999917841241,0.985384791515,0.985452414825,0.985452414825,0.0144654264161,1
14.5,0.999911890344,0.984847240432,0.984916784889,0.984916784889,0.0149951054553,1
15,0.999906186165,0.984286213405,0.984357461177,0.984357461177,0.0155487249875,1
15.5,0.999900874023,0.983708914281,0.983784345862,0.983784345862,0.016116528161,1
16,0.999895236012,0.98319793437,0.983275229839,0.983275229839,0.0166200061732,1
16.5,0.999889273665,0.9826633684,0.982742460983,0.982742460983,0.0171468126822,1
17,0.999883702089,0.982105487957,0.982186162962,0.982186162962,0.0176975391271,1
17.5,0.999878374421,0.981534188289,0.981619321615,0.981619321615,0.0182590528058,1
18,0.999872607826,0.981025958059,0.981112888363,0.981112888363,0.0187597194633,1
18.5,0.999866687438,0.980494372733,0.980582966538,0.980582966538,0.0192837209006,1
19,0.999861235793,0.979939605263,0.980029679017,0.980029679017,0.0198315567754,1
19.5,0.999855842253,0.979374242136,0.979469052708,0.979469052708,0.0203867895451,1
20,0.999927065469,0.978868766116,0.978965289374,0.978965289374,0.0209617760946,2
