t_us,qec_average_fidelity_phase_calibrated,Dp80_average_fidelity_phase_calibrated,Dm50_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,-2.22044604925e-16,0
0.5,0.999960690116,0.999960919377,0.99998433725,0.99998433725,-2.36471335915e-05,0
1,0.99975808226,0.999718525057,0.999887382453,0.999887382453,-0.000129300193209,0
1.5,0.999394398244,0.999280075156,0.999712104049,0.999712104049,-0.000317705804769,0
2,0.998839743181,0.99881136173,0.99948989954,0.99948989954,-0.000650156359217,0
2.5,0.998224405565,0.998292750286,0.999284555083,0.999284555083,-0.00106014951746,0
3,0.997676506789,0.997734626028,0.999082797415,0.999082797415,-0.00140629062519,0
3.5,0.997079515346,0.997147010322,0.998868562811,0.998868562811,-0.00178904746456,0
4,0.996353512876,0.996615691948,0.998643406629,0.998643406629,-0.00228989375262,0
4.5,0.995652767324,0.99607762063,0.998407720078,0.998407720078,-0.0027549527539,0
5,0.995031714787,0.995515377529,0.998161823146,0.998161823146,-0.00313010835884,0
5.5,0.994316053474,0.9949294367,0.997930616465,0.997930616465,-0.00361456299064,0
6,0.993491430086,0.994398960127,0.997728920199,0.997728920199,-0.00423749011261,0
6.5,0.99274116957,0.993864736664,0.997517000938,0.997517000938,-0.00477583136769,0
7,0.99204192014,0.993306758879,0.997295051881,0.997295051881,-0.00525313174044,0
7.5,0.991205139593,0.992725322516,0.997063225049,0.997063225049,-0.0058580854561,0
8,0.990300798913,0.99219660552,0.996821342033,0.996821342033,-0.00652054311942,0
8.5,0.989506957816,0.991666500561,0.996575235685,0.996575235685,-0.00706827786858,0
9,0.988713656448,0.99111285647,0.996377213226,0.996377213226,-0.00766355677784,0
9.5,0.987758704721,0.990535905595,0.996169277798,0.996169277798,-0.00841057307741,0
10,0.999329972609,0.99000894407,0.99595122247,0.99595122247,0.00337875013913,1
10.5,0.9991311859,0.989482939994,0.995723086969,0.995723086969,0.0034080989307,1
11,0.998683650107,0.988933605312,0.995485113988,0.995485113988,0.00319853611976,1
11.5,0.998068079668,0.988361092247,0.995237254617,0.995237254617,0.00283082505085,1
12,0.997464327382,0.98783588075,0.995030283325,0.995030283325,0.00243404405718,1
12.5,0.996920909205,0.987313961133,0.994825947066,0.994825947066,0.00209496213973,1
13,0.996278994188,0.986768905519,0.994611789563,0.994611789563,0.00166720462487,1
13.5,0.995542328747,0.98620078137,0.994387671059,0.994387671059,0.00115465768795,1
14,0.994879137498,0.985677320549,0.994153470926,0.994153470926,0.000725666571241,1
14.5,0.994251361735,0.985159469421,0.993909401361,0.993909401361,0.000341960374217,1
15,0.993489037195,0.984618656532,0.993687895422,0.993687895422,-0.000198858226476,1
15.5,0.992673536983,0.984054873781,0.993487413553,0.993487413553,-0.000813876569423,1
16,0.991961807613,0.983533170174,0.993276873916,0.993276873916,-0.00131506630269,1
16.5,0.991235893517,0.983019369506,0.993056521464,0.993056521464,-0.0018206279477,1
17,0.990357410752,0.982482757709,0.992826370755,0.992826370755,-0.00246896000296,1
17.5,0.989481643512,0.981923272554,0.992586218896,0.992586218896,-0.00310457538493,1
18,0.988717549102,0.98140333741,0.992349958933,0.992349958933,-0.00363240983065,1
18.5,0.987879447708,0.980893564995,0.992153232461,0.992153232461,-0.00427378475314,1
19,0.986896725327,0.980361108985,0.991946640973,0.991946640973,-0.00504991564589,1
19.5,0.985976798107,0.979805883099,0.991730019396,0.991730019396,-0.0057532212895,1
20,0.998581613039,0.97928773042,0.99150353687,0.99150353687,0.00707807616917,2
