t_us,bell_fidelity_without_protocol,decoded_bell_fidelity_with_qec,recovery_count_applied
0,1,1,0
0.5,0.998912319499,0.999456457068,0
1,0.992802304227,0.996255259483,0
1.5,0.983319416679,0.990912265708,0
2,0.972959960522,0.984677065465,0
2.5,0.962514248289,0.978131313111,0
3,0.952058821142,0.97144388857,0
3.5,0.941574763906,0.964651219558,0
4,0.931062088158,0.957761722206,0
4.5,0.920529462614,0.950780257353,0
5,0.909985317171,0.943711646825,0
5.5,0.899437058014,0.936560770781,0
6,0.888891630707,0.929332459904,0
6.5,0.878355703206,0.922031459045,0
7,0.867835668324,0.914662420213,0
7.5,0.857337640885,0.907229901438,0
8,0.846867465893,0.89973836625,0
8.5,0.836430727039,0.892192183427,0
9,0.826032753386,0.884595627193,0
9.5,0.815678625468,0.876952877795,0
10,0.805373181438,0.934940187633,1
10.5,0.795121023274,0.927606972771,1
11,0.784926522964,0.91966939432,1
11.5,0.774793828627,0.911762640612,1
12,0.764726870565,0.903860492125,1
12.5,0.754729367234,0.895927952396,1
13,0.744804831161,0.887956638886,1
13.5,0.734956574775,0.879947266303,1
14,0.725187716162,0.871902906053,1
14.5,0.715501184751,0.863827209356,1
15,0.705899726912,0.85572388227,1
15.5,0.696385911476,0.847596559041,1
16,0.686962135178,0.83944879321,1
16.5,0.677630628004,0.831284059226,1
17,0.668393458466,0.823105748686,1
17.5,0.659252538784,0.814917167138,1
18,0.650209629984,0.806721533592,1
18.5,0.641266346905,0.798521981536,1
19,0.632424163124,0.790321560302,1
19.5,0.623684415787,0.782123236388,1
20,0.615048310351,0.840730065628,2
